Date,Year,Month,Month_Name,Quarter,Station,Energy_kWh,Volume_m3,Runtime_hrs,Flow_Rate_m3hr,Avg_Power_kW,Power_Factor,Energy_Intensity_kWh_m3,Efficiency_Class,Is_Anomaly,Anomaly_Type,Anomaly_Notes
2021-05-01,2021,5,May,Q2,PS1,2503609.0,420471.0,657.1,639.9,3810.0,0.9701,5.9543,Moderate,0,Normal,Normal operation
2021-06-01,2021,6,Jun,Q2,PS1,2541686.0,422893.0,636.5,664.4,3993.2,0.9781,6.0102,Moderate,0,Normal,Normal operation
2021-07-01,2021,7,Jul,Q3,PS1,2339978.0,413685.0,660.5,626.3,3542.7,0.9673,5.6564,Moderate,0,Normal,Normal operation
2021-08-01,2021,8,Aug,Q3,PS1,2383502.0,398196.0,607.3,655.7,3924.6,0.9252,5.9857,Moderate,0,Normal,Normal operation
2021-09-01,2021,9,Sep,Q3,PS1,2297687.0,373243.0,582.6,640.6,3943.5,0.9472,6.156,Moderate,0,Normal,Normal operation
2021-10-01,2021,10,Oct,Q4,PS1,2108182.0,346032.0,535.2,646.5,3938.8,0.9599,6.0924,Moderate,0,Normal,Normal operation
2021-11-01,2021,11,Nov,Q4,PS1,1990142.0,331791.0,525.2,631.7,3789.3,0.9695,5.9982,Moderate,0,Normal,Normal operation
2021-12-01,2021,12,Dec,Q4,PS1,1927946.0,324384.0,503.4,644.4,3829.8,0.933,5.9434,Moderate,0,Normal,Normal operation
2022-01-01,2022,1,Jan,Q1,PS1,2028700.0,338398.0,521.6,648.7,3889.2,0.9515,5.995,Moderate,0,Normal,Normal operation
2022-02-01,2022,2,Feb,Q1,PS1,2032462.0,341177.0,536.9,635.5,3785.7,0.943,5.9572,Moderate,0,Normal,Normal operation
2022-03-01,2022,3,Mar,Q1,PS1,2327692.0,373710.0,584.0,639.9,3985.5,0.9576,6.2286,Moderate,0,Normal,Normal operation
2022-04-01,2022,4,Apr,Q2,PS1,2307840.0,399560.0,611.7,653.2,3773.1,0.9546,5.7759,Moderate,0,Normal,Normal operation
2022-05-01,2022,5,May,Q2,PS1,2481351.0,414453.0,675.2,613.8,3674.8,0.9595,5.9871,Moderate,0,Normal,Normal operation
2022-06-01,2022,6,Jun,Q2,PS1,2581798.0,419722.0,630.2,666.0,4096.9,0.9663,6.1512,Moderate,0,Normal,Normal operation
2022-07-01,2022,7,Jul,Q3,PS1,2783487.0,370623.0,701.5,528.3,3967.8,0.904,7.5103,Inefficient,1,Off_BEP_Operation,Pump operated far from best efficiency point
2022-08-01,2022,8,Aug,Q3,PS1,2374184.0,402195.0,646.1,622.5,3674.6,0.9465,5.9031,Moderate,0,Normal,Normal operation
2022-09-01,2022,9,Sep,Q3,PS1,2194576.0,375797.0,571.1,658.0,3842.7,0.956,5.8398,Moderate,0,Normal,Normal operation
2022-10-01,2022,10,Oct,Q4,PS1,2036307.0,344002.0,551.1,624.2,3694.7,0.9782,5.9195,Moderate,0,Normal,Normal operation
2022-11-01,2022,11,Nov,Q4,PS1,2021893.0,329763.0,513.9,641.7,3934.5,0.9365,6.1314,Moderate,0,Normal,Normal operation
2022-12-01,2022,12,Dec,Q4,PS1,1939409.0,331820.0,529.1,627.1,3665.3,0.9578,5.8448,Moderate,0,Normal,Normal operation
2023-01-01,2023,1,Jan,Q1,PS1,1992526.0,338108.0,530.7,637.2,3754.9,0.9352,5.8932,Moderate,0,Normal,Normal operation
2023-02-01,2023,2,Feb,Q1,PS1,2167015.0,356676.0,548.9,649.8,3947.8,0.9602,6.0756,Moderate,0,Normal,Normal operation
2023-03-01,2023,3,Mar,Q1,PS1,2248637.0,369560.0,582.8,634.1,3858.2,0.9443,6.0846,Moderate,0,Normal,Normal operation
2023-04-01,2023,4,Apr,Q2,PS1,2437622.0,412426.0,621.3,663.8,3923.3,0.9648,5.9104,Moderate,0,Normal,Normal operation
2023-05-01,2023,5,May,Q2,PS1,2516800.0,406174.0,651.6,623.4,3862.5,0.9427,6.1964,Moderate,0,Normal,Normal operation
2023-06-01,2023,6,Jun,Q2,PS1,2634638.0,427707.0,655.4,652.6,4019.8,0.9835,6.1599,Moderate,0,Normal,Normal operation
2023-07-01,2023,7,Jul,Q3,PS1,2454933.0,412008.0,628.7,655.3,3904.6,0.9428,5.9585,Moderate,0,Normal,Normal operation
2023-08-01,2023,8,Aug,Q3,PS1,2421915.0,396883.0,619.8,640.3,3907.5,0.9674,6.1023,Moderate,0,Normal,Normal operation
2023-09-01,2023,9,Sep,Q3,PS1,2266119.0,375104.0,601.8,623.3,3765.5,0.9958,6.0413,Moderate,0,Normal,Normal operation
2023-10-01,2023,10,Oct,Q4,PS1,2126618.0,357505.0,532.5,671.4,3994.0,0.9622,5.9485,Moderate,0,Normal,Normal operation
2023-11-01,2023,11,Nov,Q4,PS1,2417329.0,334241.0,530.6,629.9,4555.5,0.8739,7.2323,Moderate,1,Power_Quality_Issue,Low power factor; voltage sags from KPLC grid
2023-12-01,2023,12,Dec,Q4,PS1,1949466.0,323226.0,488.0,662.4,3995.0,0.9678,6.0313,Moderate,0,Normal,Normal operation
2024-01-01,2024,1,Jan,Q1,PS1,2063460.0,337742.0,501.5,673.5,4115.0,0.9608,6.1096,Moderate,0,Normal,Normal operation
2024-02-01,2024,2,Feb,Q1,PS1,2107020.0,345429.0,548.0,630.3,3844.6,0.9379,6.0997,Moderate,0,Normal,Normal operation
2024-03-01,2024,3,Mar,Q1,PS1,2352810.0,377862.0,589.1,641.4,3993.9,0.9708,6.2266,Moderate,0,Normal,Normal operation
2024-04-01,2024,4,Apr,Q2,PS1,2381638.0,386479.0,601.6,642.4,3959.0,0.9627,6.1624,Moderate,0,Normal,Normal operation
2024-05-01,2024,5,May,Q2,PS1,2621613.0,293900.0,720.0,408.2,3641.1,0.922,8.9201,Inefficient,1,Pump_Failure_Indicator,Abnormal vibration; cavitation/seal failure signs
2024-06-01,2024,6,Jun,Q2,PS1,2595998.0,427632.0,660.5,647.4,3930.3,0.9664,6.0706,Moderate,0,Normal,Normal operation
2024-07-01,2024,7,Jul,Q3,PS1,2468816.0,407789.0,638.0,639.2,3869.8,0.9562,6.0542,Moderate,0,Normal,Normal operation
2024-08-01,2024,8,Aug,Q3,PS1,2578760.0,416017.0,588.1,707.4,4384.8,0.9308,6.1987,Moderate,0,Normal,Normal operation
2024-09-01,2024,9,Sep,Q3,PS1,2274857.0,371225.0,597.7,621.1,3806.1,0.9388,6.128,Moderate,0,Normal,Normal operation
2024-10-01,2024,10,Oct,Q4,PS1,2093342.0,346778.0,556.8,622.8,3759.8,0.9582,6.0366,Moderate,0,Normal,Normal operation
2024-11-01,2024,11,Nov,Q4,PS1,2148009.0,336393.0,511.4,657.8,4200.5,0.9645,6.3854,Moderate,0,Normal,Normal operation
2024-12-01,2024,12,Dec,Q4,PS1,1899315.0,313799.0,514.7,609.7,3690.2,0.9678,6.0527,Moderate,0,Normal,Normal operation
2020-01-01,2020,1,Jan,Q1,PS3,1668422.0,329689.0,495.6,665.2,3366.5,0.968,5.0606,Efficient,0,Normal,Normal operation
2020-02-01,2020,2,Feb,Q1,PS3,1696088.0,342898.0,516.8,663.5,3282.0,0.9452,4.9463,Efficient,0,Normal,Normal operation
2020-03-01,2020,3,Mar,Q1,PS3,1889336.0,389124.0,561.3,693.3,3366.0,0.9688,4.8554,Efficient,0,Normal,Normal operation
2020-04-01,2020,4,Apr,Q2,PS3,2000962.0,414477.0,604.1,686.1,3312.1,0.9477,4.8277,Efficient,0,Normal,Normal operation
2020-05-01,2020,5,May,Q2,PS3,2148774.0,424106.0,602.6,703.9,3566.1,0.9666,5.0666,Efficient,0,Normal,Normal operation
2020-06-01,2020,6,Jun,Q2,PS3,2075818.0,362185.0,696.0,520.4,2982.5,0.9096,5.7314,Moderate,1,Off_BEP_Operation,Pump operated far from best efficiency point
2020-07-01,2020,7,Jul,Q3,PS3,2148689.0,411951.0,594.7,692.7,3613.1,0.9335,5.2159,Efficient,0,Normal,Normal operation
2020-08-01,2020,8,Aug,Q3,PS3,2047231.0,393980.0,591.1,666.5,3463.5,0.9335,5.1963,Efficient,0,Normal,Normal operation
2020-09-01,2020,9,Sep,Q3,PS3,1886511.0,384305.0,556.0,691.1,3392.8,0.9619,4.9089,Efficient,0,Normal,Normal operation
2020-10-01,2020,10,Oct,Q4,PS3,1784051.0,354092.0,513.6,689.4,3473.4,0.9492,5.0384,Efficient,0,Normal,Normal operation
2020-11-01,2020,11,Nov,Q4,PS3,1760043.0,336937.0,508.2,662.9,3463.0,0.9364,5.2237,Efficient,0,Normal,Normal operation
2020-12-01,2020,12,Dec,Q4,PS3,1741726.0,347064.0,460.2,754.2,3784.8,0.9638,5.0185,Efficient,0,Normal,Normal operation
2021-01-01,2021,1,Jan,Q1,PS3,1696467.0,338277.0,489.2,691.5,3468.0,0.9476,5.015,Efficient,0,Normal,Normal operation
2021-02-01,2021,2,Feb,Q1,PS3,1768896.0,347785.0,535.8,649.1,3301.4,0.9446,5.0862,Efficient,0,Normal,Normal operation
2021-03-01,2021,3,Mar,Q1,PS3,1966101.0,382197.0,561.2,681.1,3503.6,0.9644,5.1442,Efficient,0,Normal,Normal operation
2021-04-01,2021,4,Apr,Q2,PS3,2008935.0,390868.0,581.7,672.0,3453.8,0.9642,5.1397,Efficient,0,Normal,Normal operation
2021-05-01,2021,5,May,Q2,PS3,2154534.0,413804.0,616.4,671.3,3495.4,0.9461,5.2067,Efficient,0,Normal,Normal operation
2021-06-01,2021,6,Jun,Q2,PS3,2134846.0,424377.0,620.7,683.7,3439.6,0.9715,5.0305,Efficient,0,Normal,Normal operation
2021-07-01,2021,7,Jul,Q3,PS3,2193993.0,420574.0,627.1,670.7,3498.8,0.9553,5.2167,Efficient,0,Normal,Normal operation
2021-08-01,2021,8,Aug,Q3,PS3,2055974.0,402956.0,585.9,687.8,3509.3,0.953,5.1022,Efficient,0,Normal,Normal operation
2021-09-01,2021,9,Sep,Q3,PS3,1867035.0,375776.0,566.1,663.8,3297.9,0.9864,4.9685,Efficient,0,Normal,Normal operation
2021-10-01,2021,10,Oct,Q4,PS3,920860.0,185827.0,243.7,762.4,3778.2,0.9669,4.9555,Efficient,1,Maintenance_Period,Planned shutdown/maintenance; reduced throughput
2021-11-01,2021,11,Nov,Q4,PS3,1729616.0,341022.0,508.9,670.1,3398.6,0.9415,5.0719,Efficient,0,Normal,Normal operation
2021-12-01,2021,12,Dec,Q4,PS3,1717064.0,330606.0,480.5,688.1,3573.7,0.9528,5.1937,Efficient,0,Normal,Normal operation
2022-01-01,2022,1,Jan,Q1,PS3,1689802.0,329425.0,494.9,665.7,3414.6,0.9465,5.1296,Efficient,0,Normal,Normal operation
2022-02-01,2022,2,Feb,Q1,PS3,1768607.0,345922.0,527.9,655.2,3350.0,0.9474,5.1127,Efficient,0,Normal,Normal operation
2022-03-01,2022,3,Mar,Q1,PS3,1823823.0,371232.0,561.3,661.3,3249.0,0.9339,4.9129,Efficient,0,Normal,Normal operation
2022-04-01,2022,4,Apr,Q2,PS3,2488823.0,379827.0,617.8,614.8,4028.3,0.9571,6.5525,Moderate,1,Equipment_Degradation,Increased bearing friction; pump curve shift
2022-05-01,2022,5,May,Q2,PS3,2142479.0,420832.0,613.7,685.7,3491.2,0.94,5.0911,Efficient,0,Normal,Normal operation
2022-06-01,2022,6,Jun,Q2,PS3,2156104.0,419852.0,620.9,676.3,3472.8,0.9426,5.1354,Efficient,0,Normal,Normal operation
2022-07-01,2022,7,Jul,Q3,PS3,2126985.0,418126.0,639.3,654.0,3327.0,0.961,5.0869,Efficient,0,Normal,Normal operation
2022-08-01,2022,8,Aug,Q3,PS3,2067589.0,403021.0,585.9,687.9,3528.9,0.9552,5.1302,Efficient,0,Normal,Normal operation
2022-09-01,2022,9,Sep,Q3,PS3,1920096.0,375781.0,546.9,687.1,3510.7,0.9625,5.1096,Efficient,0,Normal,Normal operation
2022-10-01,2022,10,Oct,Q4,PS3,1954677.0,364109.0,539.5,674.9,3623.1,0.9435,5.3684,Efficient,0,Normal,Normal operation
2022-11-01,2022,11,Nov,Q4,PS3,1844046.0,343007.0,503.4,681.3,3663.0,0.9429,5.3761,Efficient,0,Normal,Normal operation
2022-12-01,2022,12,Dec,Q4,PS3,1571733.0,323282.0,482.8,669.6,3255.5,0.9471,4.8618,Efficient,0,Normal,Normal operation
2023-01-01,2023,1,Jan,Q1,PS3,1702905.0,329956.0,503.1,655.8,3384.6,0.9831,5.161,Efficient,0,Normal,Normal operation
2023-02-01,2023,2,Feb,Q1,PS3,1806107.0,360103.0,516.9,696.7,3494.3,0.9624,5.0155,Efficient,0,Normal,Normal operation
2023-03-01,2023,3,Mar,Q1,PS3,1919933.0,364438.0,586.7,621.2,3272.7,0.948,5.2682,Efficient,0,Normal,Normal operation
2023-04-01,2023,4,Apr,Q2,PS3,1963593.0,383795.0,613.2,625.9,3202.4,0.9736,5.1163,Efficient,0,Normal,Normal operation
2023-05-01,2023,5,May,Q2,PS3,2059827.0,401216.0,608.5,659.3,3384.8,0.9557,5.134,Efficient,0,Normal,Normal operation
2023-06-01,2023,6,Jun,Q2,PS3,2085559.0,416399.0,636.0,654.7,3279.2,0.9529,5.0086,Efficient,0,Normal,Normal operation
2023-07-01,2023,7,Jul,Q3,PS3,2168191.0,414934.0,625.5,663.4,3466.4,0.9381,5.2254,Efficient,0,Normal,Normal operation
2023-08-01,2023,8,Aug,Q3,PS3,2353357.0,385227.0,612.5,629.0,3842.4,0.8638,6.109,Moderate,1,Power_Quality_Issue,Low power factor; voltage sags from KPLC grid
2023-09-01,2023,9,Sep,Q3,PS3,2048691.0,387409.0,561.6,689.9,3648.1,0.956,5.2882,Efficient,0,Normal,Normal operation
2023-10-01,2023,10,Oct,Q4,PS3,1889254.0,368986.0,552.7,667.6,3418.4,0.9696,5.1201,Efficient,0,Normal,Normal operation
2023-11-01,2023,11,Nov,Q4,PS3,1718769.0,341192.0,522.4,653.1,3290.3,0.9653,5.0375,Efficient,0,Normal,Normal operation
2023-12-01,2023,12,Dec,Q4,PS3,1697304.0,338467.0,466.6,725.5,3637.9,0.9244,5.0147,Efficient,0,Normal,Normal operation
2024-01-01,2024,1,Jan,Q1,PS3,1782979.0,333874.0,512.8,651.1,3476.9,0.9561,5.3403,Efficient,0,Normal,Normal operation
2024-02-01,2024,2,Feb,Q1,PS3,1891821.0,259779.0,664.1,391.2,2848.8,0.9042,7.2824,Moderate,1,Pump_Failure_Indicator,Abnormal vibration; cavitation/seal failure signs
2024-03-01,2024,3,Mar,Q1,PS3,1859578.0,378073.0,560.0,675.1,3320.7,0.9537,4.9186,Efficient,0,Normal,Normal operation
2024-04-01,2024,4,Apr,Q2,PS3,2018150.0,387064.0,604.3,640.5,3339.8,0.9409,5.214,Efficient,0,Normal,Normal operation
2024-05-01,2024,5,May,Q2,PS3,2117261.0,409860.0,603.1,679.6,3510.7,0.9693,5.1658,Efficient,0,Normal,Normal operation
2024-06-01,2024,6,Jun,Q2,PS3,2107155.0,412114.0,635.7,648.3,3314.9,0.9431,5.113,Efficient,0,Normal,Normal operation
2024-07-01,2024,7,Jul,Q3,PS3,2112489.0,413115.0,603.7,684.3,3499.3,0.937,5.1136,Efficient,0,Normal,Normal operation
2024-08-01,2024,8,Aug,Q3,PS3,2107149.0,413218.0,595.2,694.2,3540.1,0.9582,5.0994,Efficient,0,Normal,Normal operation
2024-09-01,2024,9,Sep,Q3,PS3,1967910.0,374101.0,557.8,670.6,3527.8,0.9664,5.2604,Efficient,0,Normal,Normal operation
2024-10-01,2024,10,Oct,Q4,PS3,1795954.0,348256.0,518.9,671.1,3460.9,0.9205,5.157,Efficient,0,Normal,Normal operation
2024-11-01,2024,11,Nov,Q4,PS3,1746097.0,323907.0,523.5,618.7,3335.3,0.9513,5.3907,Efficient,0,Normal,Normal operation
2024-12-01,2024,12,Dec,Q4,PS3,1862497.0,334612.0,498.8,670.9,3734.3,0.9718,5.5661,Moderate,0,Normal,Normal operation
2020-01-01,2020,1,Jan,Q1,PS5,1811451.0,335006.0,496.4,674.8,3648.9,0.9581,5.4072,Efficient,0,Normal,Normal operation
2020-02-01,2020,2,Feb,Q1,PS5,1914528.0,346449.0,514.6,673.3,3720.6,0.9388,5.5261,Moderate,0,Normal,Normal operation
2020-03-01,2020,3,Mar,Q1,PS5,2178113.0,388497.0,583.5,665.9,3733.1,0.9772,5.6065,Moderate,0,Normal,Normal operation
2020-04-01,2020,4,Apr,Q2,PS5,2306691.0,398119.0,591.6,672.9,3898.8,0.9631,5.794,Moderate,0,Normal,Normal operation
2020-05-01,2020,5,May,Q2,PS5,2235202.0,405673.0,626.9,647.1,3565.6,0.9343,5.5099,Moderate,0,Normal,Normal operation
2020-06-01,2020,6,Jun,Q2,PS5,2329740.0,427409.0,667.7,640.1,3489.3,0.9634,5.4508,Efficient,0,Normal,Normal operation
2020-07-01,2020,7,Jul,Q3,PS5,2269188.0,408766.0,622.7,656.5,3644.2,0.942,5.5513,Moderate,0,Normal,Normal operation
2020-08-01,2020,8,Aug,Q3,PS5,2251485.0,397888.0,592.6,671.5,3799.5,0.9542,5.6586,Moderate,0,Normal,Normal operation
2020-09-01,2020,9,Sep,Q3,PS5,2074616.0,373088.0,557.3,669.5,3722.6,0.9663,5.5607,Moderate,0,Normal,Normal operation
2020-10-01,2020,10,Oct,Q4,PS5,2012669.0,356507.0,522.1,682.8,3855.0,0.9663,5.6455,Moderate,0,Normal,Normal operation
2020-11-01,2020,11,Nov,Q4,PS5,2230747.0,312593.0,545.5,573.0,4089.2,0.9436,7.1363,Moderate,1,Equipment_Degradation,Increased bearing friction; pump curve shift
2020-12-01,2020,12,Dec,Q4,PS5,1763849.0,323894.0,475.6,681.0,3708.5,0.9557,5.4458,Efficient,0,Normal,Normal operation
2021-01-01,2021,1,Jan,Q1,PS5,1934454.0,338107.0,498.4,678.4,3881.2,0.9301,5.7214,Moderate,0,Normal,Normal operation
2021-02-01,2021,2,Feb,Q1,PS5,1960591.0,351971.0,519.0,678.1,3777.5,0.9557,5.5703,Moderate,0,Normal,Normal operation
2021-03-01,2021,3,Mar,Q1,PS5,2125146.0,368117.0,565.8,650.6,3755.9,0.9463,5.773,Moderate,0,Normal,Normal operation
2021-04-01,2021,4,Apr,Q2,PS5,2311770.0,404186.0,589.1,686.2,3924.5,0.9766,5.7196,Moderate,0,Normal,Normal operation
2021-05-01,2021,5,May,Q2,PS5,2659943.0,394198.0,619.3,636.5,4295.2,0.872,6.7477,Moderate,1,Power_Quality_Issue,Low power factor; voltage sags from KPLC grid
2021-06-01,2021,6,Jun,Q2,PS5,2399867.0,422969.0,631.5,669.8,3800.3,0.9527,5.6739,Moderate,0,Normal,Normal operation
2021-07-01,2021,7,Jul,Q3,PS5,2416151.0,423313.0,635.3,666.3,3803.1,0.9488,5.7077,Moderate,0,Normal,Normal operation
2021-08-01,2021,8,Aug,Q3,PS5,2250705.0,393599.0,600.0,656.0,3751.2,0.9487,5.7183,Moderate,0,Normal,Normal operation
2021-09-01,2021,9,Sep,Q3,PS5,2180598.0,377318.0,603.4,625.3,3613.8,0.9501,5.7792,Moderate,0,Normal,Normal operation
2021-10-01,2021,10,Oct,Q4,PS5,1967641.0,362110.0,531.9,680.8,3699.1,0.9399,5.4338,Efficient,0,Normal,Normal operation
2021-11-01,2021,11,Nov,Q4,PS5,1825030.0,321063.0,507.7,632.4,3594.5,0.9801,5.6843,Moderate,0,Normal,Normal operation
2021-12-01,2021,12,Dec,Q4,PS5,1924312.0,332615.0,500.6,664.4,3843.9,0.9218,5.7854,Moderate,0,Normal,Normal operation
2022-01-01,2022,1,Jan,Q1,PS5,1862638.0,337914.0,524.8,643.9,3549.5,0.9722,5.5122,Moderate,0,Normal,Normal operation
2022-02-01,2022,2,Feb,Q1,PS5,2049290.0,355208.0,532.2,667.4,3850.4,0.9891,5.7693,Moderate,0,Normal,Normal operation
2022-03-01,2022,3,Mar,Q1,PS5,2123937.0,376455.0,576.7,652.8,3683.1,0.9423,5.6419,Moderate,0,Normal,Normal operation
2022-04-01,2022,4,Apr,Q2,PS5,2307407.0,404143.0,594.6,679.7,3880.6,0.9478,5.7094,Moderate,0,Normal,Normal operation
2022-05-01,2022,5,May,Q2,PS5,2435390.0,417803.0,637.7,655.1,3818.8,0.9473,5.829,Moderate,0,Normal,Normal operation
2022-06-01,2022,6,Jun,Q2,PS5,2362871.0,417841.0,627.4,666.0,3766.2,0.9607,5.655,Moderate,0,Normal,Normal operation
2022-07-01,2022,7,Jul,Q3,PS5,2443025.0,420027.0,619.2,678.4,3945.8,0.9753,5.8164,Moderate,0,Normal,Normal operation
2022-08-01,2022,8,Aug,Q3,PS5,2253692.0,400807.0,636.1,630.1,3543.1,0.9363,5.6229,Moderate,0,Normal,Normal operation
2022-09-01,2022,9,Sep,Q3,PS5,1058419.0,192020.0,309.3,620.9,3422.5,0.9542,5.512,Moderate,1,Maintenance_Period,Planned shutdown/maintenance; reduced throughput
2022-10-01,2022,10,Oct,Q4,PS5,2134359.0,354740.0,522.4,679.0,4085.5,0.9569,6.0167,Moderate,0,Normal,Normal operation
2022-11-01,2022,11,Nov,Q4,PS5,1948873.0,336904.0,525.1,641.6,3711.5,0.9584,5.7847,Moderate,0,Normal,Normal operation
2022-12-01,2022,12,Dec,Q4,PS5,1927980.0,323676.0,512.2,632.0,3764.4,0.9752,5.9565,Moderate,0,Normal,Normal operation
2023-01-01,2023,1,Jan,Q1,PS5,1958594.0,348774.0,506.7,688.3,3865.1,0.9531,5.6156,Moderate,0,Normal,Normal operation
2023-02-01,2023,2,Feb,Q1,PS5,1953568.0,352946.0,556.1,634.6,3512.7,0.9779,5.535,Moderate,0,Normal,Normal operation
2023-03-01,2023,3,Mar,Q1,PS5,2262895.0,328736.0,636.8,516.2,3553.5,0.9002,6.8836,Moderate,1,Off_BEP_Operation,Pump operated far from best efficiency point
2023-04-01,2023,4,Apr,Q2,PS5,2259162.0,404085.0,610.0,662.5,3703.7,0.9356,5.5908,Moderate,0,Normal,Normal operation
2023-05-01,2023,5,May,Q2,PS5,2351802.0,411285.0,659.3,623.9,3567.3,0.9325,5.7182,Moderate,0,Normal,Normal operation
2023-06-01,2023,6,Jun,Q2,PS5,2269691.0,418034.0,639.5,653.7,3549.2,0.9542,5.4294,Efficient,0,Normal,Normal operation
2023-07-01,2023,7,Jul,Q3,PS5,2463953.0,412124.0,644.9,639.0,3820.6,0.9719,5.9787,Moderate,0,Normal,Normal operation
2023-08-01,2023,8,Aug,Q3,PS5,2399505.0,395349.0,592.7,667.0,4048.1,0.9559,6.0693,Moderate,0,Normal,Normal operation
2023-09-01,2023,9,Sep,Q3,PS5,2171159.0,375111.0,574.6,652.8,3778.5,0.9528,5.788,Moderate,0,Normal,Normal operation
2023-10-01,2023,10,Oct,Q4,PS5,2005382.0,347911.0,532.4,653.5,3766.9,0.9468,5.7641,Moderate,0,Normal,Normal operation
2023-11-01,2023,11,Nov,Q4,PS5,1896447.0,330326.0,517.0,638.9,3668.1,0.9776,5.7411,Moderate,0,Normal,Normal operation
2023-12-01,2023,12,Dec,Q4,PS5,1829593.0,308792.0,522.6,590.8,3500.7,0.9239,5.925,Moderate,0,Normal,Normal operation
2024-01-01,2024,1,Jan,Q1,PS5,1869842.0,333287.0,510.0,653.5,3666.1,0.9433,5.6103,Moderate,0,Normal,Normal operation
2024-02-01,2024,2,Feb,Q1,PS5,2025687.0,343615.0,567.3,605.7,3570.9,0.9741,5.8952,Moderate,0,Normal,Normal operation
2024-03-01,2024,3,Mar,Q1,PS5,2179442.0,380773.0,558.7,681.5,3900.9,0.9623,5.7237,Moderate,0,Normal,Normal operation
2024-04-01,2024,4,Apr,Q2,PS5,2233890.0,387723.0,621.0,624.4,3597.3,0.9494,5.7616,Moderate,0,Normal,Normal operation
2024-05-01,2024,5,May,Q2,PS5,2413381.0,419659.0,642.4,653.3,3757.0,0.9724,5.7508,Moderate,0,Normal,Normal operation
2024-06-01,2024,6,Jun,Q2,PS5,2414238.0,411351.0,654.3,628.7,3689.7,0.9504,5.869,Moderate,0,Normal,Normal operation
2024-07-01,2024,7,Jul,Q3,PS5,2463023.0,416580.0,617.2,675.0,3990.8,0.9522,5.9125,Moderate,0,Normal,Normal operation
2024-08-01,2024,8,Aug,Q3,PS5,2283869.0,274068.0,720.0,380.7,3172.0,0.8839,8.3332,Inefficient,1,Pump_Failure_Indicator,Abnormal vibration; cavitation/seal failure signs
2024-09-01,2024,9,Sep,Q3,PS5,2050354.0,362547.0,585.4,619.3,3502.5,0.9813,5.6554,Moderate,0,Normal,Normal operation
2024-10-01,2024,10,Oct,Q4,PS5,1960702.0,335845.0,567.3,592.0,3456.3,0.9535,5.8381,Moderate,0,Normal,Normal operation
2024-11-01,2024,11,Nov,Q4,PS5,1927669.0,331670.0,522.6,634.7,3688.6,0.9715,5.812,Moderate,0,Normal,Normal operation
2024-12-01,2024,12,Dec,Q4,PS5,1911568.0,330914.0,509.7,649.2,3750.4,0.9541,5.7766,Moderate,0,Normal,Normal operation
